Drawer,Compartment,Row,Col,Item,TargetQty
1,A1,1,1,Syringes 3ml,20
1,A2,1,2,Syringes 6ml,15
1,B1,2,1,Syringes 12ml,10
1,B2,2,2,Syringes 20ml,8
1,C1,3,1,Blood tubes (red top),25
1,C2,3,2,Blood tubes (purple),25
1,D1,4,1,,
1,D2,4,2,,
1,E1,5,1,,
1,E2,5,2,,
1,F1,6,1,,
1,F2,6,2,,
2-Upper,A,1,1,,
2-Upper,B,2,1,,
2-Upper,C,2,2,,
2-Upper,D,3,2,,
2-Lower,A,1,1,,
2-Lower,B,1,2,,
2-Lower,C,2,1,,
2-Lower,D,2,2,,
3,Front,1,1,,
3,Back,2,1,,
4,Front,1,1,,
4,Back,2,1,,
5,Front,1,1,,
5,Back,2,1,,
6,A1,1,1,,
6,A2,1,2,,
6,A3,1,3,,
6,A4,1,4,,
6,B1,2,1,,
6,B2,2,2,,
6,B3,2,3,,
6,B4,2,4,,
6,C1,3,1,,
6,C2,3,2,,
6,C3,3,3,,
6,C4,3,4,,
6,D1,4,1,,
6,D2,4,2,,
6,D3,4,3,,
6,D4,4,4,,
6,E1,5,1,,
6,E2,5,2,,
6,E3,5,3,,
6,E4,5,4,,
6,F1,6,1,,
6,F2,6,2,,
6,F3,6,3,,
6,F4,6,4,,
6,G1,7,1,,
6,G2,7,2,,
6,G3,7,3,,
6,G4,7,4,,
6,H1,8,1,,
6,H2,8,2,,
6,H3,8,3,,
6,H4,8,4,,
7,A1,1,1,,
7,A2,1,2,,
7,A3,1,3,,
7,A4,1,4,,
7,B1,2,1,,
7,B2,2,2,,
7,B3,2,3,,
7,B4,2,4,,
7,C1,3,1,,
7,C2,3,2,,
7,C3,3,3,,
7,C4,3,4,,
7,D1,4,1,,
7,D2,4,2,,
7,D3,4,3,,
7,D4,4,4,,
7,E1,5,1,,
7,E2,5,2,,
7,E3,5,3,,
7,E4,5,4,,
7,F1,6,1,,
7,F2,6,2,,
7,F3,6,3,,
7,F4,6,4,,
7,G1,7,1,,
7,G2,7,2,,
7,G3,7,3,,
7,G4,7,4,,
7,H1,8,1,,
7,H2,8,2,,
7,H3,8,3,,
7,H4,8,4,,
8,Front,1,1,,
8,Back,2,1,,
